lat,lng
16.8900,-24.9800
16.0830,-22.8330
18.6630,-74.1700
19.3330,-72.5000
18.5390,-72.3350
19.7670,-72.2170
19.0000,-72.4170
52.6670,61.6670
44.0000,77.5000
48.0000,68.0000
43.1650,67.1040
43.2570,76.9290
51.1170,54.1170
44.3330,72.0830
52.6740,70.4410
31.2160,29.9550
27.0000,30.0000
30.6040,32.2720
30.0630,31.2500
27.1810,31.1840
32.2210,35.2540
31.5000,34.4670
31.5290,35.0940
31.9000,35.2040
31.7050,35.2040
31.6670,35.2500
31.9330,35.2050
31.4170,34.3330
11.8640,-15.5980
41.5000,75.0000
42.6040,78.5260
42.0000,78.0000
19.0000,-72.4170
-29.0000,24.0000
12.1170,15.0670
14.6670,16.9170
8.7530,15.8720
-4.5830,55.6670
-24.6550,25.9090
23.9740,114.9860
23.1990,114.4620
23.5000,113.2500
22.3150,112.6600
31.9170,117.1670
34.0000,113.6670
-0.7500,35.0000
-2.2800,40.9000
-3.5630,39.6440
-4.0200,39.6670
-0.4200,36.9500
-0.3440,36.5000
0.5000,35.3170
-1.2830,36.8330
-2.2220,37.8720
-0.9820,34.4090
1.7500,35.2500
-1.8350,38.4510
0.0720,34.7120
-0.6660,34.4810
3.3670,40.7000
-4.1330,39.2000
-2.1310,36.8780
0.3500,34.1700
1.7500,40.0170
-0.7500,34.8330
-0.4840,36.1710
0.6600,34.6390
0.0000,37.5180
0.3330,36.7670
-0.5000,37.3330
0.1050,34.3020
0.9900,35.5500
-0.1010,38.0290
-0.1720,40.0410
-0.4250,37.5310
-0.0690,34.6400
0.6670,36.0000
0.9830,38.5330
-1.2820,37.4080
-0.2730,35.3830
0.3340,34.7970
-1.0900,36.6990
1.3330,37.1170
-0.7900,35.3500
1.0450,34.9790
-0.6840,36.9940
3.0000,35.5000
-1.2410,35.7360
-1.5330,39.4170
-3.4000,38.3700
2.9670,37.6000
0.4780,35.5590
0.0550,35.1930
30.3300,78.0600
30.8400,75.8200
17.4020,78.4900
25.3330,83.0000
15.0000,10.5000
16.0000,13.5000
13.5210,2.1050
-29.5830,27.8330
-9.5000,-76.0000
-4.0000,-74.5000
-14.0000,-74.2500
-5.0000,-78.2330
-7.0000,-76.8330
-12.0000,-70.2500
-10.5000,-75.2500
-13.0000,-72.2500
-6.2500,-78.8330
-9.7500,-73.5000
-11.5000,-75.0000
4.8560,-2.0830
6.1200,1.1900
7.7400,-1.6690
5.4330,-2.7330
6.8240,-3.0180
5.4120,-2.6170
6.2280,-1.5510
4.9510,-2.1020
10.5080,-1.9630
4.8700,-2.2400
8.5930,-2.0680
8.2610,0.5240
5.3670,-1.8830
6.9170,-1.5330
6.9950,0.2930
6.8000,-1.0820
8.0610,-1.2710
9.9230,-0.2170
6.2060,-1.6620
10.6320,-0.1820
5.8680,-0.3780
5.6700,-0.0170
7.6330,-1.0670
9.9210,-0.2190
7.5860,-1.9410
5.5370,-0.7000
8.5510,-0.5190
7.9730,-1.8170
10.3510,-0.8010
5.4680,-1.5390
